Model,Top-1,Top-5,F1 Macro,Total Params,GFLOPs/epoch,Epoch time (s)
timesformer,0.8936,0.9947,0.8878,"121,277,977",1068107.5,306
videomae,0.9415,0.9840,0.9381,"86,246,425",572388.4,333
